,carat,cut,color,clarity,depth,table,volume
4560,0.92,Premium,G,SI2,58.4,58.0,151.35
4561,0.76,Ideal,E,VS1,60.5,56.0,128.45
4562,0.92,Good,E,SI1,63.3,57.0,150.44
4563,0.9,Very Good,G,SI1,63.6,57.0,144.61
4564,0.9,Very Good,G,SI1,63.5,59.0,143.53
4565,0.73,Ideal,E,VS2,61.7,57.0,119.47
4566,0.92,Premium,G,SI2,62.9,58.0,148.56
4568,1.02,Premium,J,VS2,58.9,60.0,165.6
4570,0.82,Ideal,G,VS1,61.5,56.0,134.9
4571,0.95,Premium,H,SI2,58.8,60.0,155.14
4572,0.8,Very Good,F,VS2,62.3,57.0,129.54
4573,0.91,Very Good,F,SI2,61.6,59.0,145.97
4574,0.8,Ideal,F,VS2,62.0,55.0,131.65
4575,0.76,Very Good,G,VVS2,62.1,56.0,123.38
4576,1.01,Good,J,VS2,62.8,58.0,158.82
4577,0.77,Ideal,F,VS1,60.9,58.0,126.94
4578,1.11,Premium,D,I1,61.9,58.0,181.48
4579,1.07,Very Good,G,SI2,63.5,59.0,173.53
4580,1.02,Premium,G,SI2,62.5,58.0,162.4
4581,0.9,Very Good,I,VS1,63.3,58.0,142.55
4582,0.7,Ideal,H,VS2,61.9,56.0,114.89
4583,0.7,Ideal,H,VS2,60.8,56.0,115.92
4584,0.9,Ideal,J,VS1,62.6,54.0,146.71
4585,1.02,Good,H,SI2,64.0,57.0,167.0
4586,1.02,Ideal,I,SI1,62.9,57.0,164.14
4587,1.01,Premium,J,SI2,61.9,59.0,159.37
4589,0.91,Very Good,F,SI2,62.4,58.0,147.9
4591,0.73,Ideal,E,VS1,60.9,55.8,120.45
4592,0.9,Good,E,SI2,59.9,61.0,141.31
4593,0.91,Good,D,SI2,63.3,62.0,140.18
4594,1.09,Premium,I,SI1,62.7,60.0,175.36
4595,0.9,Premium,E,SI2,62.2,60.0,146.18
4596,0.9,Very Good,E,SI2,62.4,57.0,145.24
4597,0.9,Premium,E,SI2,61.3,60.0,146.07
4598,0.9,Premium,E,SI2,60.8,60.0,147.1
4599,0.9,Very Good,E,SI2,62.6,60.0,144.52
4600,0.9,Ideal,E,SI2,62.0,55.0,147.13
4601,0.7,Ideal,F,VS1,61.2,56.0,116.18
4602,1.22,Very Good,H,I1,61.6,56.0,196.67
4603,0.89,Good,F,SI1,64.3,55.0,143.45
4604,0.9,Premium,I,VS2,60.1,59.0,150.89
4605,0.91,Very Good,I,VS2,61.0,57.0,147.49
4606,0.87,Very Good,D,SI1,60.2,60.0,139.71
4607,0.91,Ideal,G,SI2,62.3,56.0,148.38
4608,1.01,Premium,I,SI2,59.6,62.0,165.87
4609,0.91,Ideal,E,SI1,60.7,56.0,147.57
4610,1.01,Premium,H,SI2,59.6,60.0,165.62
4611,1.19,Ideal,H,I1,61.5,57.0,194.31
4612,1.27,Very Good,I,I1,60.2,62.0,208.75
4613,0.91,Premium,E,SI1,62.2,58.0,150.05
4614,1.01,Good,J,SI1,63.6,54.0,166.7
4615,0.91,Very Good,J,VS1,62.1,55.0,147.99
4616,0.9,Good,I,VS1,63.5,61.0,136.11
4617,0.73,Ideal,G,VVS1,61.3,56.0,119.96
4618,0.7,Very Good,D,VS2,60.6,60.0,113.93
4619,0.78,Very Good,D,VS2,62.2,56.0,126.54
4620,1.03,Premium,F,SI2,62.2,60.0,167.76
4621,0.74,Ideal,D,VS2,61.4,58.0,120.72
4622,1.03,Very Good,F,SI2,63.1,57.0,165.48
4623,0.73,Very Good,F,VVS2,63.8,59.0,118.47
4624,0.95,Premium,J,VVS2,62.6,59.0,152.49
4625,0.85,Very Good,D,SI1,60.3,57.0,140.53
4626,0.73,Ideal,G,VVS1,61.9,57.0,119.6
4628,0.9,Good,G,SI1,65.2,58.0,142.89
4629,1.04,Premium,J,SI2,62.0,59.0,168.8
4630,0.91,Premium,H,SI1,62.8,58.0,145.76
4631,0.9,Good,G,SI1,63.7,60.0,143.9
4632,0.91,Premium,I,VS1,61.9,57.0,148.71
4633,0.9,Very Good,G,SI1,63.1,59.0,145.42
4635,0.9,Good,G,SI1,63.7,58.0,144.98
4636,0.9,Good,H,VS1,64.0,59.0,140.35
4637,0.9,Good,G,SI1,63.8,59.0,142.35
4638,0.9,Very Good,G,SI1,63.2,59.0,141.72
4639,0.9,Premium,G,SI1,62.0,61.0,140.65
4640,1.12,Premium,I,SI2,61.2,58.0,184.05
4642,1.04,Ideal,H,SI2,62.0,57.0,168.79
4643,0.91,Ideal,I,VS1,62.5,55.0,150.74
4644,0.9,Premium,G,SI1,61.9,59.0,144.34
4645,1.12,Fair,I,SI2,64.6,57.0,176.21
4646,1.17,Premium,H,I1,62.8,58.0,188.99
4647,1.13,Ideal,H,I1,61.1,56.0,187.16
4648,0.91,Premium,H,SI1,62.2,60.0,147.51
4649,1.04,Ideal,I,SI1,59.7,56.0,169.2
4650,0.9,Premium,G,SI1,62.6,62.0,140.01
4651,0.71,Very Good,D,VVS2,62.7,59.0,113.93
4652,0.85,Ideal,G,SI1,62.2,56.0,138.67
4653,1.13,Ideal,H,SI2,60.6,57.0,188.93
4654,1.01,Premium,H,SI2,63.0,59.0,157.57
4656,1.01,Good,D,SI2,63.8,61.0,144.5
4657,0.76,Ideal,G,VVS1,62.0,54.7,123.88
4658,0.78,Ideal,E,SI1,60.4,57.0,128.88
4659,1.01,Very Good,D,SI2,59.1,63.0,167.22
4660,0.95,Premium,G,SI2,60.5,62.0,158.92
4661,0.78,Very Good,D,VS2,59.8,60.0,129.24
4662,1.0,Good,F,SI2,60.6,62.0,159.17
4663,1.06,Premium,J,SI2,61.3,60.0,172.73
4664,1.05,Premium,F,SI2,61.1,59.0,173.78
4665,0.7,Ideal,G,IF,60.2,57.0,118.14
4666,0.8,Very Good,G,VS1,62.7,56.0,130.02
4667,0.73,Ideal,D,VS2,62.3,54.0,120.48
4668,0.82,Premium,G,SI1,61.8,58.0,133.56
4669,0.71,Ideal,D,SI1,61.4,56.0,114.84
4670,0.71,Ideal,D,SI1,60.6,56.0,117.87
4672,1.01,Premium,E,SI2,62.3,55.0,157.37
4673,1.0,Ideal,F,SI2,61.1,54.0,167.22
4674,0.81,Premium,E,VS2,61.5,58.0,141.25
4675,1.01,Very Good,E,SI2,63.3,58.0,162.34
4676,0.92,Premium,H,SI1,62.2,58.0,148.86
4677,1.03,Premium,D,SI2,62.3,58.0,167.65
4678,0.79,Ideal,H,VVS1,62.0,56.0,129.84
4679,0.63,Premium,E,VS1,60.5,57.0,103.68
4680,1.0,Good,G,SI2,63.4,60.0,156.95
4681,1.01,Premium,H,SI2,60.3,59.0,164.18
4683,1.01,Premium,H,SI2,61.6,60.0,146.84
4684,1.01,Very Good,I,SI1,63.2,55.0,162.6
4685,1.01,Good,I,SI1,64.1,59.0,154.61
4686,0.9,Ideal,J,IF,62.2,57.0,145.09
4687,0.9,Ideal,I,VS1,61.6,56.0,145.98
4688,1.13,Ideal,H,I1,62.2,55.0,184.63
4689,1.1,Ideal,F,I1,61.8,56.0,180.22
4690,1.1,Very Good,F,I1,59.8,61.0,177.77
4691,0.9,Very Good,F,SI1,63.6,58.0,145.46
4692,0.75,Ideal,D,VS2,61.1,55.0,124.47
4693,0.92,Very Good,E,SI2,63.2,54.0,155.68
4694,1.0,Good,J,SI1,63.9,60.0,154.22
4695,0.9,Ideal,F,SI2,62.3,57.0,147.04
4696,0.9,Premium,H,SI1,62.0,62.0,139.35
4697,0.31,Very Good,I,VVS1,62.2,60.0,49.78
4698,0.31,Premium,D,SI1,60.9,60.0,51.34
4699,0.31,Good,D,SI1,63.5,55.0,49.94
4701,0.28,Very Good,E,VVS2,64.0,54.0,45.42
4704,0.38,Ideal,J,VS2,62.3,55.0,62.22
4707,0.37,Ideal,F,SI2,60.9,56.0,61.8
4708,0.3,Ideal,H,SI1,61.6,57.0,49.0
4709,0.33,Premium,I,SI1,62.8,58.0,53.87
4710,0.33,Ideal,I,SI1,62.7,56.0,54.11
4711,0.33,Ideal,I,SI1,61.5,57.0,55.07
4712,0.33,Premium,I,SI1,61.4,58.0,55.19
4713,0.33,Premium,I,SI1,61.3,59.0,55.32
4714,0.33,Very Good,I,SI1,63.2,58.0,52.71
4715,0.33,Good,I,SI1,63.6,57.0,54.33
4716,0.42,Very Good,G,SI2,59.5,61.0,68.92
4717,0.34,Ideal,G,VS2,61.6,56.0,55.97
4718,0.3,Ideal,F,VS2,61.6,56.0,49.53
4719,0.3,Ideal,F,VS2,61.9,56.0,50.25
4720,0.3,Ideal,F,VS2,62.2,55.0,49.78
4721,0.3,Ideal,F,VS2,62.5,54.0,49.85
4722,0.3,Ideal,F,VS2,62.3,55.0,50.2
4723,0.3,Ideal,F,VS2,61.1,56.0,50.99
4724,0.3,Ideal,F,VS2,60.9,56.0,50.8
4725,0.3,Ideal,F,VS2,61.9,54.0,49.6
4726,0.3,Ideal,F,VS2,61.7,58.0,48.88
4727,0.92,Premium,E,SI2,61.8,59.0,143.72
4728,0.76,Ideal,F,VS1,62.2,56.0,124.57
4729,0.9,Very Good,G,SI1,63.0,57.0,147.23
4730,1.01,Very Good,G,SI2,62.0,58.0,165.22
4731,0.91,Premium,F,SI2,61.4,60.0,147.79
4732,0.8,Ideal,D,SI2,61.9,54.0,131.87
4733,0.7,Ideal,F,VVS1,62.5,57.0,112.48
4734,0.92,Premium,F,SI1,62.6,59.0,150.01
4735,0.93,Very Good,I,SI1,58.9,60.0,158.33
4736,0.84,Ideal,D,SI1,62.4,57.0,138.58
4737,1.0,Premium,J,VS2,62.0,62.0,161.44
4738,1.0,Premium,J,VS2,60.7,61.0,163.33
4739,1.02,Premium,F,SI2,62.5,58.0,166.46
4740,1.21,Ideal,I,I1,61.3,57.0,202.74
4741,0.91,Very Good,F,SI2,61.2,59.0,146.54
4742,1.12,Ideal,I,SI2,62.4,57.0,183.79
4743,0.96,Fair,F,SI2,65.2,58.0,149.93
4744,0.9,Premium,D,SI1,59.5,57.0,145.31
4745,0.9,Very Good,E,SI1,60.7,61.0,143.22
4746,0.81,Very Good,F,VS1,62.7,56.0,132.05
4747,0.9,Good,D,SI1,63.6,63.0,140.92
4748,0.9,Fair,D,SI1,64.8,59.0,144.56
4749,0.9,Fair,D,SI1,64.5,61.0,141.44
4750,0.9,Good,D,SI1,64.1,56.0,142.25
4751,0.9,Good,D,SI1,63.9,57.0,142.95
4752,0.72,Premium,F,VVS1,62.8,58.0,117.25
4753,0.93,Premium,G,SI2,62.2,55.0,152.2
4754,0.71,Good,D,VS1,64.2,58.0,114.22
4755,0.72,Ideal,E,VS1,62.1,54.0,118.03
4756,1.0,Good,J,SI1,61.7,62.0,160.63
4757,0.96,Premium,H,SI2,59.4,56.0,159.09
4758,1.1,Ideal,F,I1,61.3,57.0,180.42
4759,0.94,Very Good,D,SI2,60.9,62.0,149.3
4760,0.71,Very Good,F,VVS1,61.8,58.0,113.23
4761,0.77,Very Good,F,VS2,62.6,55.0,126.24
4762,1.03,Ideal,G,SI2,60.4,56.0,169.21
4763,1.11,Premium,I,SI2,61.3,59.0,181.41
4764,1.03,Very Good,F,SI2,63.3,59.0,160.93
4765,1.03,Ideal,H,SI2,60.5,57.0,169.89
4767,0.97,Ideal,H,SI2,61.6,55.0,157.41
4768,0.74,Ideal,F,VS1,62.0,54.0,123.04
4769,1.21,Premium,J,VS2,59.0,60.0,194.05
4770,1.0,Ideal,F,SI2,62.3,56.0,156.22
4773,1.2,Very Good,H,I1,58.6,57.0,199.55
4774,0.9,Good,F,SI1,64.0,59.0,136.96
4776,1.0,Premium,G,SI2,59.1,59.0,163.66
4779,1.1,Premium,I,SI2,62.4,59.0,173.97
4780,1.1,Premium,J,VS2,61.2,57.0,178.73
4781,1.5,Good,I,I1,63.7,61.0,234.27
4783,0.75,Ideal,D,VS1,62.4,54.0,124.91
4784,0.77,Ideal,E,VS1,62.0,56.0,126.41
4785,0.9,Very Good,E,SI2,63.5,58.0,144.85
4786,0.92,Ideal,G,SI2,63.0,57.0,146.13
4787,0.9,Fair,H,VS2,64.7,58.0,139.45
4788,0.82,Premium,E,VS2,59.7,61.0,132.94
4789,1.31,Premium,J,SI2,59.7,59.0,207.86
4790,1.01,Good,J,SI1,63.6,54.0,166.7
4791,0.9,Very Good,F,SI1,63.8,54.0,145.59
4792,0.9,Very Good,F,SI1,63.4,57.0,142.92
4795,1.12,Very Good,G,SI2,63.4,57.0,173.53
4796,1.08,Premium,G,SI2,59.3,61.0,173.45
4797,1.02,Premium,H,SI2,59.2,59.0,166.72
4798,0.9,Good,H,VS2,63.6,61.0,136.8
4799,0.9,Premium,E,SI2,59.2,60.0,145.84
4800,0.71,Ideal,F,VS1,61.1,56.0,117.93
4801,0.71,Ideal,F,VS1,61.0,56.0,118.13
4802,0.71,Good,F,VS1,61.8,57.0,117.17
4803,0.77,Ideal,F,SI1,61.7,56.0,125.5
4804,0.91,Premium,E,SI2,61.1,59.0,147.01
4805,0.91,Very Good,E,SI2,62.8,61.0,141.21
4806,0.91,Very Good,I,SI1,62.8,57.0,144.9
4807,0.9,Premium,F,SI2,60.5,57.0,145.23
4808,0.9,Ideal,F,SI2,62.6,57.0,146.7
4809,0.9,Premium,F,SI2,60.1,59.0,148.44
4810,0.9,Premium,F,SI2,62.3,57.0,145.95
4812,0.9,Premium,F,SI2,61.5,59.0,147.55
4813,0.9,Premium,F,SI2,62.0,61.0,144.1
4814,0.9,Premium,F,SI2,61.4,62.0,143.19
4815,0.9,Premium,F,SI2,60.3,55.0,151.94
4816,0.73,Very Good,F,VVS2,62.1,57.0,118.03
4817,0.85,Very Good,F,VS2,62.2,56.0,137.39
4818,0.71,Ideal,F,VVS2,61.2,55.0,118.46
4819,0.9,Very Good,D,SI2,62.9,59.0,143.11
4820,0.92,Very Good,D,SI2,63.7,57.0,149.36
4821,0.77,Ideal,H,VVS2,61.3,56.0,127.43
4822,0.72,Ideal,H,VVS1,61.8,56.0,118.32
4823,0.9,Very Good,I,VS2,58.7,60.0,147.95
4824,0.9,Very Good,I,VS2,60.7,59.0,147.81
4825,0.9,Very Good,I,VS2,63.0,60.0,147.23
4826,0.9,Very Good,I,VS2,59.9,58.0,142.38
4827,1.01,Very Good,F,SI2,59.5,57.0,173.89
4828,0.92,Premium,H,SI1,59.0,59.0,150.09
4829,0.86,Ideal,D,SI1,62.8,56.0,140.15
4830,0.91,Very Good,H,SI1,63.4,59.0,144.24
4831,0.75,Ideal,F,VVS2,61.9,54.0,122.91
4832,0.79,Ideal,I,VS2,60.9,56.0,130.17
4833,0.71,Ideal,F,VS1,60.9,57.0,116.86
4834,0.71,Ideal,F,VS1,60.8,56.0,119.7
4835,0.71,Ideal,F,VS1,61.5,56.0,116.3
4836,0.71,Ideal,F,VS1,61.9,56.0,115.82
4837,0.71,Ideal,F,VS1,61.4,56.0,117.65
4838,0.71,Ideal,F,VS1,61.5,57.0,116.3
4839,0.71,Ideal,F,VS1,61.3,56.0,114.84
4840,0.71,Ideal,F,VS1,60.9,56.0,117.39
4841,0.71,Ideal,F,VS1,61.9,56.0,114.89
4842,0.71,Ideal,F,VS1,61.8,55.0,115.82
4843,0.71,Ideal,F,VS1,61.5,56.0,115.77
4844,0.71,Ideal,F,VS1,61.4,57.0,115.37
4845,0.91,Very Good,G,SI1,63.5,61.0,142.45
4846,1.16,Premium,D,I1,61.8,59.0,191.01
4847,1.0,Premium,I,SI2,61.6,59.0,159.71
4848,1.0,Premium,J,SI1,60.8,58.0,160.49
4849,0.75,Ideal,D,SI1,61.1,56.0,123.91
4850,1.02,Premium,I,VS2,61.1,59.0,159.0
4851,0.78,Ideal,E,VS2,61.1,55.0,130.31
4852,0.92,Very Good,G,SI2,62.4,60.0,148.76
4853,0.8,Ideal,F,VS2,61.2,58.0,132.92
4854,1.0,Premium,G,SI2,61.4,61.0,156.11
4855,1.02,Premium,I,SI1,60.2,60.0,159.5
4856,1.02,Good,H,SI2,64.3,60.0,161.38
4857,1.02,Premium,H,SI2,61.3,57.0,166.7
4858,1.0,Very Good,G,SI2,63.1,63.0,156.17
4859,1.02,Very Good,H,SI2,63.4,63.0,161.58
4860,1.02,Premium,H,SI2,60.8,58.0,164.26
4861,1.02,Ideal,H,SI2,62.0,56.0,160.28
4862,1.02,Ideal,I,SI1,62.1,56.0,163.78
4863,0.9,Premium,F,SI1,61.3,58.0,139.39
4864,0.73,Ideal,E,VVS2,62.0,57.0,118.44
4865,0.9,Very Good,E,SI2,61.6,58.0,147.08
4866,0.9,Very Good,E,SI2,62.2,54.0,146.18
4867,0.79,Ideal,E,SI1,61.6,55.0,132.39
4868,0.76,Ideal,F,VVS2,60.9,57.0,126.73
4869,0.71,Ideal,D,VS1,60.9,58.0,115.72
4870,0.97,Good,J,VS2,60.0,56.0,159.59
4871,1.01,Premium,F,SI2,60.0,60.0,159.59
4873,0.75,Very Good,E,VS2,63.0,57.0,122.57
4874,0.9,Very Good,G,SI1,63.6,57.0,144.37
4875,0.9,Ideal,G,SI2,62.3,56.0,146.8
4876,0.9,Good,I,VVS2,64.8,55.0,146.73
4877,0.71,Premium,D,VS1,59.2,59.0,120.11
4878,1.04,Ideal,F,I1,61.6,57.0,168.22
4879,0.72,Very Good,E,VVS2,62.0,58.0,116.35
4880,0.73,Very Good,F,VVS1,60.6,56.0,118.82
4881,0.9,Very Good,I,VS2,61.2,57.0,144.13
4882,0.8,Very Good,F,VS1,62.6,57.0,131.25
4883,0.8,Very Good,F,VS1,62.3,57.0,130.33
4884,0.9,Premium,I,VS1,61.0,55.0,151.05
4885,0.77,Ideal,D,VS2,61.8,56.0,125.08
4886,1.01,Premium,J,VS2,61.0,61.0,148.82
4887,0.9,Ideal,G,SI2,61.5,57.0,141.65
4888,0.72,Ideal,D,SI1,61.2,56.0,118.27
4889,0.96,Very Good,G,SI2,62.6,59.0,151.6
4890,0.91,Ideal,E,SI2,61.1,58.0,150.57
4892,0.92,Good,I,VS1,60.9,63.0,152.65
4893,1.12,Premium,F,SI2,62.4,59.0,176.97
4894,0.95,Premium,G,SI2,59.5,56.0,154.92
4895,0.7,Very Good,E,VVS1,62.5,56.0,113.6
4896,0.7,Very Good,E,VVS1,60.9,59.0,115.3
4897,0.9,Very Good,F,SI1,61.6,56.0,144.66
4898,0.9,Good,F,SI1,63.1,57.0,145.66
4899,0.92,Very Good,G,SI1,63.8,57.0,148.02
4901,0.9,Ideal,I,VS1,61.8,56.0,148.32
4902,0.9,Good,E,SI2,62.1,63.0,141.26
4903,0.92,Premium,I,VS1,61.4,58.0,150.0
4904,0.7,Very Good,G,IF,63.0,59.0,110.7
4905,0.7,Ideal,G,VVS2,61.6,57.0,115.7
4906,0.9,Fair,H,VS2,64.6,54.0,147.7
4907,1.21,Good,E,I1,63.3,63.0,190.05
4908,0.91,Very Good,F,SI2,61.4,60.0,142.36
4909,1.1,Premium,J,SI2,59.6,59.0,181.62
4910,0.91,Ideal,I,VS2,62.2,59.0,145.09
4912,1.08,Very Good,E,SI2,63.5,56.0,174.76
4913,1.13,Ideal,E,I1,62.0,55.0,184.74
4915,0.97,Ideal,H,SI2,60.7,55.0,162.16
4916,1.11,Very Good,J,VS2,63.2,59.0,173.91
4917,0.9,Very Good,I,SI1,60.6,56.0,148.28
4918,0.9,Good,H,SI1,61.4,60.0,138.71
4919,0.91,Fair,D,SI1,64.7,61.0,141.57
4920,0.91,Fair,D,SI1,65.2,57.0,145.06
4921,0.91,Good,D,SI1,64.0,58.0,143.56
4922,0.9,Premium,I,VVS2,60.9,59.0,147.72
4923,1.11,Fair,H,SI2,64.4,58.0,178.82
4924,0.9,Premium,H,SI1,60.7,59.0,146.47
4925,0.98,Very Good,H,SI2,62.1,59.0,159.77
4926,1.01,Ideal,J,SI2,61.6,55.0,167.28
4927,1.01,Premium,H,SI2,59.6,60.0,165.62
4928,0.58,Ideal,D,VVS1,62.1,55.0,95.03
4929,0.76,Ideal,D,SI1,62.3,55.0,123.17
4930,0.8,Ideal,H,VVS1,61.8,57.0,127.49
4931,1.19,Ideal,H,I1,61.5,57.0,194.31
4932,1.27,Premium,I,I1,60.2,62.0,208.75
4933,1.01,Ideal,F,SI2,62.4,56.0,164.35
4934,1.01,Premium,F,SI2,62.7,58.0,160.48
4935,1.15,Good,J,SI2,63.8,60.0,183.1
4936,1.01,Good,G,SI1,64.3,55.0,162.82
4937,0.9,Good,F,SI1,61.0,62.0,146.39
4938,1.01,Premium,H,SI2,60.8,59.0,165.7
4939,1.01,Ideal,I,SI2,61.9,55.0,163.37
4940,1.01,Fair,H,VS2,65.2,56.0,156.18
4941,1.01,Premium,J,SI2,61.2,59.0,160.56
4942,0.9,Good,G,SI1,62.8,59.0,142.51
4943,0.9,Good,G,SI1,63.8,59.0,142.35
4944,0.9,Premium,G,SI1,62.2,60.0,143.16
4945,0.9,Good,G,SI1,63.2,59.0,141.72
4946,0.91,Very Good,H,SI1,62.2,60.0,147.51
4948,0.9,Good,H,VS1,64.0,59.0,140.35
4949,0.9,Very Good,G,SI1,62.0,61.0,140.65
4950,0.9,Good,G,SI1,63.1,59.0,145.42
4951,0.9,Good,G,SI1,63.7,58.0,144.98
4952,0.9,Good,G,SI1,63.7,60.0,143.9
4953,0.91,Very Good,H,SI1,62.8,58.0,145.76
4954,0.91,Very Good,I,VS1,61.9,57.0,148.71
4955,0.9,Good,H,SI1,58.9,61.0,148.34
4956,1.13,Premium,I,SI2,62.1,60.0,186.74
4959,0.73,Ideal,D,VS2,62.6,55.0,118.07
4961,1.15,Premium,H,SI2,59.6,59.0,187.27
4962,0.78,Ideal,D,VS2,62.9,56.0,126.93
4963,0.78,Ideal,G,VS1,61.6,55.0,128.13
4964,0.9,Good,E,SI2,63.0,58.0,142.65
4965,0.8,Very Good,H,VVS1,61.9,56.0,130.41
4966,1.01,Good,E,SI2,63.9,58.0,162.79
4967,0.7,Ideal,D,VVS2,60.9,59.0,113.46
4968,0.93,Very Good,G,SI2,62.7,57.0,152.0
4969,1.03,Ideal,J,SI1,62.3,57.0,167.5
4970,0.71,Ideal,G,IF,60.9,57.0,116.65
4971,1.01,Ideal,G,SI2,61.5,57.0,164.23
4972,1.19,Very Good,G,SI2,63.4,56.0,184.32
4973,1.0,Good,H,SI2,63.2,60.0,156.82
4974,0.75,Ideal,G,VVS2,62.0,56.0,122.28
4975,1.0,Fair,F,SI2,65.1,60.0,151.04
4976,0.72,Ideal,F,VVS2,62.3,57.0,117.21
4977,1.06,Premium,J,SI2,61.3,60.0,172.73
4978,0.9,Premium,D,SI2,61.0,59.0,142.67
4979,0.9,Good,D,SI2,63.8,58.0,145.59
4980,0.9,Premium,D,SI2,62.3,58.0,145.66
4981,0.9,Good,D,SI2,63.6,57.0,140.92
4982,0.7,Ideal,F,VVS2,61.9,54.8,114.69
4983,0.58,Ideal,D,VVS1,62.2,56.0,95.31
4984,0.9,Good,I,VVS1,63.9,63.0,141.89
4985,1.08,Good,J,SI2,63.2,59.0,172.4
4986,1.05,Very Good,I,SI2,62.3,59.0,166.31
4987,0.87,Premium,D,SI1,58.8,56.0,145.53
4988,1.09,Very Good,D,SI2,63.4,59.0,179.29
4989,0.91,Premium,E,SI2,61.6,60.0,141.2
4990,0.91,Ideal,H,VS2,63.0,56.0,142.88
4992,0.9,Fair,E,SI1,64.9,56.0,150.91
4994,0.92,Good,E,SI2,61.8,59.0,143.72
4995,0.78,Very Good,F,VS1,61.7,55.0,127.7
4996,0.93,Good,D,SI2,59.2,62.0,152.97
4997,1.02,Very Good,J,SI2,63.3,56.0,165.89
4998,1.13,Ideal,H,I1,62.2,55.0,184.63
4999,1.1,Premium,F,I1,59.8,61.0,177.77
5000,1.1,Ideal,F,I1,61.8,56.0,180.22
5002,0.91,Premium,F,SI2,62.6,58.0,143.21
5003,0.9,Very Good,J,VVS1,60.4,60.0,147.89
5004,0.72,Ideal,F,VVS2,60.9,56.0,118.75
5005,0.93,Very Good,E,SI2,63.0,58.0,148.09
5006,1.13,Premium,G,I1,61.2,58.0,185.31
5007,0.91,Premium,F,SI2,58.2,61.0,159.01
5008,0.91,Very Good,F,SI2,63.3,54.0,149.33
5009,0.74,Ideal,D,VS1,61.7,55.0,121.6
5010,0.91,Ideal,F,SI2,62.2,56.0,145.09
5011,0.91,Ideal,F,SI2,62.4,57.0,148.76
5013,0.9,Very Good,E,SI1,62.5,60.0,142.61
5014,0.71,Ideal,E,VS1,61.5,55.0,117.98
5015,0.92,Premium,F,SI1,62.6,59.0,150.01
5016,1.01,Very Good,J,SI1,62.9,56.0,162.97
5017,1.01,Premium,I,SI2,61.7,60.0,159.46
5018,1.03,Ideal,F,SI2,61.9,56.0,170.79
5019,0.63,Ideal,F,IF,60.9,57.0,104.11
5021,1.03,Premium,H,SI2,62.7,62.0,164.91
5022,1.03,Premium,J,SI1,61.1,61.0,165.09
5023,1.03,Premium,H,SI2,62.0,60.0,165.89
5024,1.03,Premium,I,SI1,62.0,58.0,165.22
5025,0.9,Good,F,VS1,63.8,56.0,134.75
5026,1.08,Premium,I,SI2,60.1,59.0,182.44
5027,0.3,Ideal,F,VS2,60.5,58.0,49.12
5028,0.33,Ideal,I,VS1,61.7,55.0,54.58
5029,0.4,Ideal,G,SI2,62.6,54.0,66.87
5030,0.4,Ideal,G,SI2,62.4,56.0,66.0
5032,0.4,Ideal,I,SI1,61.8,55.0,66.61
5033,0.31,Ideal,H,SI1,61.4,55.0,52.27
5035,0.31,Premium,H,SI1,62.3,55.0,51.28
5036,0.31,Premium,H,SI1,61.1,55.0,50.99
5037,0.31,Good,H,SI1,63.6,57.0,51.44
5038,0.31,Premium,H,SI1,62.4,60.0,50.62
5039,0.31,Premium,H,SI1,61.1,57.0,49.8
5040,0.31,Ideal,H,SI1,62.7,56.0,51.78
5041,0.31,Premium,H,SI1,60.5,60.0,50.3
5042,0.31,Very Good,H,SI1,63.1,57.0,51.07
5043,0.3,Ideal,D,SI2,60.2,56.0,50.76
5044,0.31,Ideal,G,VS2,61.4,57.0,51.06
5045,0.31,Ideal,G,VS2,61.4,56.0,50.64
5046,0.34,Premium,G,SI2,62.8,58.0,55.12
5047,0.34,Very Good,F,SI2,63.3,54.0,56.55
5048,0.34,Premium,F,SI2,60.0,58.0,57.1
5049,0.34,Premium,F,SI2,61.7,61.0,54.7
5050,0.34,Premium,F,SI2,63.0,58.0,55.9
5051,0.3,Premium,G,SI1,62.6,57.0,49.62
5052,0.3,Premium,G,SI1,61.6,59.0,47.95
5053,0.3,Good,G,SI1,63.8,56.0,50.01
5054,0.3,Premium,G,SI1,61.4,57.0,49.87
5057,0.77,Ideal,F,VS1,61.9,54.0,128.49
5058,0.95,Good,F,SI2,59.7,57.0,158.76
5060,0.93,Premium,H,SI1,61.8,59.0,150.78
5062,1.01,Premium,G,SI2,62.9,57.0,161.79
5063,0.93,Fair,H,SI1,64.6,58.0,146.6
5064,0.91,Very Good,E,SI2,63.8,60.0,142.59
5065,1.25,Premium,J,VS2,59.8,58.0,204.23
5066,0.92,Premium,G,SI1,61.5,60.0,148.41
5067,0.91,Ideal,I,VS2,62.2,56.0,148.38
5069,0.9,Very Good,G,SI1,63.3,56.0,143.39
5070,0.9,Very Good,G,SI1,63.8,57.0,143.66
5071,0.7,Ideal,D,VS1,61.4,54.2,115.97
5072,0.9,Good,G,SI1,60.0,61.0,143.23
5074,1.0,Premium,E,SI2,61.0,59.0,157.59
5075,1.06,Very Good,J,SI2,62.0,58.0,170.16
5077,1.02,Premium,F,SI2,62.5,58.0,166.46
5078,0.9,Good,D,SI1,64.1,56.0,142.25
5079,0.9,Good,D,SI1,63.6,63.0,140.92
5080,1.14,Ideal,F,I1,61.7,57.0,184.57
5081,1.03,Very Good,G,SI2,63.0,60.0,162.71
